dispatch_id,name,op,shape,cycles
28,cat_1,cat2_c1_s8,N=2;H=128;W=128;C_total=6;C_inputs=3|3,10905511
29,conv2d_5,conv2d_s8_pc,N=2;IC=6;IH=128;IW=128;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,386118211
30,layer_norm_4,layer_norm_s8,M=64;K=4096,17754580
31,mul_4,mul_c1_s8,N=2;C=32;HW=4096,5374674
32,add_6,add_c1_s8,N=2;C=32;HW=4096,5100122
33,relu_4,relu_s8,n=262144,3263196
34,conv2d_6,conv2d_s8_pc,N=2;IC=32;IH=64;IW=64;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,1500125389
35,layer_norm_5,layer_norm_s8,M=64;K=3072,13267431
36,mul_5,mul_c1_s8,N=2;C=96;HW=1024,4023682
37,add_7,add_c1_s8,N=2;C=96;HW=1024,3843854
38,relu_5,relu_s8,n=196608,2462090
39,conv2d_7,conv2d_s8_pc,N=2;IC=96;IH=32;IW=32;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,2207459545
40,layer_norm_6,layer_norm_s8,M=64;K=1536,6648394
41,mul_6,mul_c1_s8,N=2;C=192;HW=256,2015726
42,add_8,add_c1_s8,N=2;C=192;HW=256,1926850
43,relu_6,relu_s8,n=98304,1233132
44,conv2d_8,conv2d_s8_pc,N=2;IC=192;IH=16;IW=16;OC=384;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,2136115389
45,layer_norm_7,layer_norm_s8,M=64;K=768,3332570
46,mul_7,mul_c1_s8,N=2;C=384;HW=64,1016636
47,add_9,add_c1_s8,N=2;C=384;HW=64,972190
48,relu_7,relu_s8,n=49152,619274
49,conv2d_9,conv2d_s8_pc,N=2;IC=384;IH=8;IW=8;OC=512;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,1135108278
50,permute_1,permute4_s8,d0=2;d1=512;d2=8;d3=8;p0=0;p1=2;p2=3;p3=1,722451
51,linear_2,linear_s8_pc,M=128;K=512;N=384,379258309
52,slice_2,slice_c_s8,N=1;IC=10;C_start=0;C_end=2;H=64;W=384,2452314
53,add_10,add_s8,n=49152,2100858
54,cat_2,cat2_c1_s8,N=1;H=16;W=384;C_total=2;C_inputs=1|1,722258
55,slice_3,slice_c_s8,N=1;IC=10;C_start=0;C_end=2;H=1;W=384,5478
56,slice_4,slice_c_s8,N=2;IC=256;C_start=0;C_end=1;H=1;W=384,38273
57,cat_3,cat4_c1_s8,N=2;H=1;W=384;C_total=337;C_inputs=256|64|16|1,14931623
58,cat_4,cat2_c1_s8,N=1;H=1;W=384;C_total=690;C_inputs=16|674,15539578
59,layer_norm_8,layer_norm_s8,M=690;K=384,20116055
60,linear_3,linear_s8_pc,M=690;K=384;N=384,1535715894
61,transpose,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
62,linear_4,linear_s8_pc,M=690;K=384;N=384,1535715862
63,transpose_1,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
64,linear_5,linear_s8_pc,M=690;K=384;N=384,1535715836
65,transpose_2,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
66,matmul,matmul_b_s8,B=6;M=690;K=64;N=690,2736129547
67,add_11,add_tile_s8,OUTER=6;INNER=476100,67653658
